日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/05/19,49410505,3711927230,75.4,76.0,74.6,74.8,-0.2,21590
109/05/20,30828720,2304984331,74.9,75.3,74.5,74.5,-0.3,13870
109/05/21,24213322,1809690550,74.5,75.0,74.3,74.7,0.2,11673
109/05/22,46433168,3429622432,74.2,74.4,73.5,73.6,-1.1,24358
109/05/25,26982259,1975050566,73.5,73.6,72.6,73.6,0.0,13590
109/05/26,28310825,2118555875,73.7,75.3,73.6,74.8,1.2,12743
109/05/27,22380029,1681599201,74.8,75.5,74.8,75.3,0.5,9717
109/05/28,26184820,1974966847,75.7,75.9,74.8,75.3,0.0,11142
109/05/29,44896709,3390842168,74.3,75.8,74.3,75.8,0.5,8845
109/06/01,25890941,1978249140,76.0,76.8,75.9,76.2,0.4,11983
109/06/02,46411048,3578984344,76.5,77.5,76.4,77.1,0.9,17377
109/06/03,42871656,3345926880,78.0,78.4,77.6,78.1,1.0,20113
109/06/04,43657351,3416129837,78.5,78.7,77.6,78.4,0.3,16411
109/06/05,33935695,2653168238,78.1,78.5,77.8,78.5,0.1,14514
109/06/08,53575560,4252869778,79.1,79.8,78.8,79.7,1.2,25563
109/06/09,38143498,3037880359,79.3,80.2,78.9,79.5,-0.2,17925
109/06/10,25863059,2061805675,79.6,79.9,79.1,79.9,0.4,11783
109/06/11,42535010,3373446609,79.9,80.3,78.1,78.6,-1.3,19143
109/06/12,30382486,2353848108,77.3,78.0,76.6,78.0,-0.6,14859
109/06/15,26332046,2038172490,77.7,77.9,77.0,77.0,-1.0,12905
109/06/16,22339775,1747515973,77.8,78.5,77.7,78.4,1.4,9686
109/06/17,18039312,1413407434,78.9,79.0,77.9,78.2,-0.2,8443
109/06/18,18089756,1416482565,78.4,78.7,77.7,78.5,0.3,7536
109/06/19,35887232,2822258010,78.6,78.9,78.1,78.8,0.3,7669
109/06/22,16769227,1318411513,78.7,78.9,78.2,78.9,0.1,7610
109/06/23,45708143,3655911340,79.6,80.7,79.3,80.2,1.3,20574
109/06/24,88391479,7322897783,81.1,83.5,81.0,83.5,3.3,41893
109/06/29,98493392,8314264132,83.6,85.8,83.4,85.2,1.7,39748
109/06/30,57741437,4972422082,86.0,86.4,85.7,86.3,1.1,23058
109/07/01,44576514,3854998428,86.5,87.6,85.5,85.9,-0.40,22175
109/07/02,34490431,2950800438,85.8,86.0,84.6,86.0,+0.10,16916
109/07/03,44883049,3832093245,86.1,86.2,85.1,85.3,-0.70,21640
109/07/06,44370881,3833581654,85.7,86.6,85.6,86.4,+1.10,17935
109/07/07,52853744,4572499757,87.1,87.5,85.6,87.0,+0.60,21050
109/07/08,40532208,3524880599,87.0,87.3,86.6,87.0,0.00,15078
109/07/09,51421490,4442391525,87.3,87.4,85.8,86.2,-0.80,20494
109/07/10,55453243,4737240248,86.2,86.2,84.8,84.8,-1.40,22536
109/07/13,36625700,3154223682,85.4,86.7,85.4,86.7,+1.90,14492
109/07/14,34934410,3029522815,86.8,87.5,86.3,86.3,-0.40,13706
109/07/15,47807002,4148430451,86.6,87.2,86.5,86.6,+0.30,22664
109/07/16,50530654,4420166927,87.0,88.0,86.9,87.6,+1.00,20067
109/07/17,48813379,4307330703,88.3,88.6,87.6,88.0,+0.40,21341
109/07/20,74478567,6424395139,88.0,88.0,85.0,86.8,-1.20,29010
109/07/21,74962395,6405280586,86.0,86.1,85.1,85.3,-1.50,34475
109/07/22,73724655,6309707947,85.3,86.0,85.1,85.9,+0.60,28177
109/07/23,79361972,6498304084,81.3,82.5,81.1,82.1,X0.00,31355
109/07/24,50435732,4076404565,81.5,81.9,80.0,80.0,-2.10,23339
109/07/27,68636332,5391711702,79.6,79.9,78.0,78.0,-2.00,29796
109/07/28,89739664,7145636184,77.8,82.7,77.3,78.4,+0.40,36892
109/07/29,39362154,3086153861,78.6,79.8,78.0,78.0,-0.40,20547
109/07/30,40501045,3157449637,78.7,78.8,77.5,78.0,0.00,17186
109/07/31,47089202,3713121252,78.5,79.4,78.4,78.4,+0.40,17849
109/08/03,61172243,4755970977,78.4,78.9,77.1,77.1,-1.3,28055
109/08/04,23090382,1797852065,77.7,78.2,77.5,78.1,1.0,10819
109/08/05,27876127,2178907032,78.3,78.5,77.9,77.9,-0.2,14160
109/08/06,33250505,2629079995,79.3,79.7,78.5,79.0,1.1,16746
109/08/07,21862438,1721842306,79.6,79.6,78.3,78.3,-0.7,11805
109/08/10,49798520,3990124915,79.2,80.9,79.1,80.5,2.2,23279
109/08/11,30816578,2468946640,81.0,81.1,79.6,79.8,-0.7,13848
109/08/12,45677601,3690920427,80.9,81.5,79.9,81.4,1.6,20916
109/08/13,91723728,7358971725,82.0,82.3,79.2,79.5,-1.9,36555
109/08/14,35459498,2840778377,79.8,80.7,79.6,80.4,0.9,13587
109/08/17,23622631,1896828119,80.7,80.7,80.0,80.2,-0.2,11055
109/08/18,33226399,2650389582,80.5,80.5,79.3,79.8,-0.4,11086
109/08/19,34690778,2772846440,80.9,80.9,79.3,79.3,-0.5,13857
109/08/20,62249250,4824965577,79.6,79.9,75.6,77.1,-2.2,28426
109/08/21,24487793,1910674209,78.2,78.4,77.5,78.2,1.1,11775
109/08/24,21801923,1698792494,78.2,78.4,77.6,77.6,-0.6,8976
109/08/25,17655262,1381004042,78.1,78.5,77.8,78.3,0.7,7599
109/08/26,16286412,1272133537,78.3,78.4,77.9,78.2,-0.1,7049
109/08/27,24154047,1879109966,78.2,78.7,77.5,77.5,-0.7,11696
109/08/28,25486462,1976344876,77.4,78.2,77.1,77.5,0.0,11424
109/08/31,30590373,2364666097,77.8,78.0,76.9,76.9,-0.6,9800
109/09/01,22918104,1761448751,76.9,77.3,76.4,77.0,0.1,9429
109/09/02,24934189,1926749142,77.2,77.8,77.0,77.8,0.8,10679
109/09/03,41884369,3282356882,78.8,79.3,77.6,77.7,-0.1,19460
109/09/04,36806710,2831784400,77.0,77.3,76.6,76.9,-0.8,15981
109/09/07,21248188,1638392849,76.8,77.5,76.8,77.3,0.4,10350
109/09/08,26249612,2037963124,77.7,78.1,77.3,77.5,0.2,9471
109/09/09,22505471,1737061038,77.3,77.9,76.6,77.9,0.4,10226
109/09/10,29117204,2283088513,78.0,78.7,78.0,78.5,0.6,12763
109/09/11,16132726,1263705910,78.5,78.5,78.0,78.5,0.0,7897
109/09/14,27029525,2139654572,78.8,79.5,78.6,79.4,0.9,13151
109/09/15,16938546,1340750906,79.4,79.4,78.9,79.1,-0.3,7801
109/09/16,18122360,1429007221,79.4,79.4,78.6,78.8,-0.3,8344
109/09/17,20784040,1628079884,78.6,79.1,78.0,78.1,-0.7,10005
109/09/18,32663875,2538932050,77.9,78.2,77.5,77.6,-0.5,9826
109/09/21,19006472,1475770876,77.6,78.3,77.3,77.4,-0.2,9495
109/09/22,25601394,1969959728,77.3,77.3,76.5,76.8,-0.6,10596
109/09/23,18141854,1392920098,77.0,77.2,76.6,76.7,-0.1,8408
109/09/24,57338020,4323761301,76.1,76.4,75.0,75.0,-1.7,27989
109/09/25,38124876,2845940140,75.4,75.7,74.1,74.3,-0.7,17695
109/09/28,32250992,2463972584,74.9,76.9,74.8,76.9,2.6,14071
109/09/29,36475973,2829789508,77.3,78.4,77.0,77.0,0.1,14074
109/09/30,19229698,1492921059,78.0,78.0,77.3,77.4,0.4,8011
109/10/05,19075464,1486550675,78.2,78.5,77.5,77.7,0.3,8036
109/10/06,16976308,1322915817,78.1,78.2,77.6,77.8,0.1,7560
109/10/07,17236406,1334976005,77.4,77.8,77.1,77.4,-0.4,6752
109/10/08,14942266,1162407848,77.8,78.0,77.5,78.0,0.6,7978
109/10/12,38085427,2991588689,78.4,78.8,78.1,78.7,0.7,14391
109/10/13,22946661,1803540423,79.0,79.1,78.1,78.9,0.2,10059
109/10/14,42431974,3319711242,78.1,78.8,78.0,78.0,-0.9,11427
109/10/15,26260704,2052076611,77.7,78.5,77.6,78.1,0.1,9280
109/10/16,48409062,3826593625,78.4,79.9,78.2,78.6,0.5,21575
109/10/19,85721985,6933767387,80.0,81.5,79.7,81.3,2.7,41492
109/10/20,45688857,3719173202,81.5,82.0,80.8,81.4,0.1,23005
109/10/21,32456107,2621588828,81.5,81.5,80.3,80.4,-1.0,14481
109/10/22,24773904,1997772128,80.8,80.8,80.3,80.8,0.4,9087
109/10/23,18968821,1533150361,81.2,81.4,80.5,80.7,-0.1,7944
109/10/26,14376600,1155662321,81.1,81.1,80.0,80.2,-0.5,7849
109/10/27,21240221,1694981771,79.9,80.0,79.4,80.0,-0.2,9012
109/10/28,33914127,2673591837,79.4,79.7,78.2,78.3,-1.7,16485
109/10/29,30618945,2376702905,77.6,78.2,76.8,78.0,-0.3,15101
109/10/30,26399018,2048506123,77.6,78.2,77.1,77.5,-0.5,9463
109/11/02,17820319,1388494460,77.5,78.3,77.4,78.3,0.8,8075
109/11/03,14624015,1146787065,78.5,78.8,78.1,78.3,0.0,7545
109/11/04,18927508,1490884001,78.4,79.4,78.0,78.8,0.5,7641
109/11/05,14675062,1157728567,79.0,79.3,78.5,79.0,0.2,6177
109/11/06,21927838,1745003872,79.6,79.9,79.3,79.7,0.7,9256
109/11/09,42301888,3424501240,80.7,81.5,80.5,81.2,1.5,19937
109/11/10,21869925,1766382105,81.1,81.2,80.3,80.8,-0.4,10248
109/11/11,36850179,2992317172,80.8,81.7,80.4,81.6,0.8,17181
109/11/12,44996299,3672675394,81.7,82.0,80.8,81.9,0.3,19911
109/11/13,32250189,2628738658,81.9,82.0,80.9,81.4,-0.5,14397
109/11/16,50715538,4182976762,82.0,82.9,81.9,82.6,1.2,22122
109/11/17,45390693,3760327206,83.1,83.3,82.3,83.0,0.4,17332
109/11/18,30992749,2576431712,82.9,83.4,82.7,83.2,0.2,14929
109/11/19,23992520,1985723356,82.7,83.2,82.5,82.9,-0.3,11054
109/11/20,24856126,2050460680,83.3,83.3,82.1,82.5,-0.4,11943
109/11/23,24645027,2041909040,82.9,83.2,82.5,82.9,0.4,10383
109/11/24,22997794,1893349073,83.1,83.1,82.0,82.0,-0.9,11782
109/11/25,23351912,1915145608,82.4,82.5,81.5,82.0,0.0,10804
109/11/26,35654143,2955779864,82.6,83.2,82.5,83.0,1.0,15087
109/11/27,21516682,1778145042,83.0,83.0,82.5,82.6,-0.4,10239
109/11/30,66105032,5444498467,82.7,83.0,82.0,82.3,-0.3,11699
109/12/01,24824339,2050440234,82.5,82.9,82.2,82.9,0.6,9164
109/12/02,38583640,3190762355,83.0,83.3,82.4,82.7,-0.2,15581
109/12/03,30688528,2519994773,82.3,82.4,81.9,82.0,-0.7,14542
109/12/04,48068126,3987392806,83.0,83.4,82.6,82.9,0.9,20329
109/12/07,163867512,14119652736,83.3,88.1,83.1,87.9,5.0,80798
109/12/08,118755890,10495182078,88.4,89.7,87.3,87.6,-0.3,56530
109/12/09,67952932,6033649403,88.5,89.3,88.2,89.0,1.4,31573
109/12/10,54580931,4795519790,88.4,88.7,87.1,87.7,-1.3,27323
109/12/11,61349293,5351066332,88.5,88.5,85.8,87.6,-0.1,29628
109/12/14,47987980,4241965989,88.3,89.0,87.7,87.7,0.1,21135
109/12/15,38956460,3390831919,88.3,88.3,86.5,87.1,-0.6,18357
109/12/16,47026342,4130677034,88.0,88.2,87.4,88.2,1.1,21515
109/12/17,28097957,2470825265,88.3,88.4,87.6,87.8,-0.4,12277
109/12/18,27787804,2439199919,88.1,88.2,87.5,87.7,-0.1,11920
109/12/21,28905010,2538797919,88.1,88.5,86.9,88.0,0.3,14714
